"member_casual","duration_bucket","total_rides","share"
"member","<5 min",899620,0.242681282610584
"member","5–10 min",1214972,0.327750565011834
"member","10–15 min",687505,0.185461189392399
"member","15–30 min",692046,0.186686168499504
"member","30–60 min",188315,0.0507998107365467
"member","1–2 hrs",17675,0.00476800390180529
"member",">2 hrs",6869,0.00185297984732676
"casual","<5 min",342534,0.159671496269419
"casual","5–10 min",553200,0.257873004537483
"casual","10–15 min",383441,0.178740207398513
"casual","15–30 min",501748,0.233888764064847
"casual","30–60 min",242832,0.113195620820402
"casual","1–2 hrs",93414,0.0435447376100226
"casual",">2 hrs",28073,0.0130861692993145
